candidate_id,rank,score,reasoning
CAND_0081846,1,307.287000,"Lead AI Engineer with 6.7 years; strongest signal is Learning to Rank, Information Retrieval, Semantic Search, which maps well to Redrob's retrieval and ranking mandate. Availability signals are favorable, which matters for a founding-team hire."
CAND_0077337,2,284.914500,"Staff Machine Learning Engineer with 7.0 years; search/retrieval proof is Information Retrieval, Semantic Search, BM25, which lines up well with JD. Availability signals are favorable, which matters for a founding-team hire."
CAND_0018499,3,272.830500,"Senior Machine Learning Engineer with 7.2 years; strongest signal is Learning to Rank, Information Retrieval, Embeddings, which maps well to Redrob's retrieval and ranking mandate. Availability signals are favorable, which matters for a founding-team hire."
CAND_0079387,4,269.681000,"AI Engineer with 6.9 years; strongest signal is Learning to Rank, Vector Search, BM25, which maps well to Redrob's retrieval and ranking mandate. Availability signals are favorable, which matters for a founding-team hire."
CAND_0046064,5,250.771000,"Senior NLP Engineer with 8.9 years; search/retrieval proof is Semantic Search, BM25, Pinecone, which lines up well with JD. Availability signals are favorable, which matters for a founding-team hire."
CAND_0071974,6,249.147000,"Senior AI Engineer with 7.8 years; strongest signal is Learning to Rank, Information Retrieval, Embeddings, which maps well to Redrob's retrieval and ranking mandate. Availability signals are favorable, which matters for a founding-team hire."
CAND_0062247,7,248.849500,"AI Engineer with 7.3 years; strongest signal is Learning to Rank, Information Retrieval, Vector Search, which maps well to Redrob's retrieval and ranking mandate. Availability signals are favorable, which matters for a founding-team hire."
CAND_0007009,8,247.807500,"Recommendation Systems Engineer with 7.9 years; strongest signal is Learning to Rank, Embeddings, BM25, which maps well to Redrob's retrieval and ranking mandate. Availability signals are favorable, which matters for a founding-team hire."
CAND_0075249,9,238.773000,"Applied ML Engineer with 6.2 years; strongest signal is Learning to Rank, BM25, Sentence Transformers, which maps well to Redrob's retrieval and ranking mandate. Availability signals are favorable, which matters for a founding-team hire."
CAND_0041610,10,238.744500,"Recommendation Systems Engineer with 6.7 years; strongest signal is Learning to Rank, Embeddings, BM25, which maps well to Redrob's retrieval and ranking mandate. Availability signals are favorable, which matters for a founding-team hire."
CAND_0036184,11,238.113500,"Recommendation Systems Engineer with 6.0 years; profile pairs Semantic Search with Vector Search, enough applied depth to stay in serious consideration. Availability signals are favorable, which matters for a founding-team hire."
CAND_0046525,12,235.467000,"Senior Machine Learning Engineer with 6.1 years; profile pairs Information Retrieval with Sentence Transformers, enough applied depth to stay in serious consideration. Availability signals are favorable, which matters for a founding-team hire."
CAND_0053695,13,229.539000,"Recommendation Systems Engineer with 5.8 years; profile pairs Embeddings with Sentence Transformers, enough applied depth to stay in serious consideration. Availability signals are favorable, which matters for a founding-team hire."
CAND_0039754,14,227.164000,"Senior Applied Scientist with 16.2 years; profile pairs BM25 with Qdrant, enough applied depth to stay in serious consideration. Main concern: profile years mismatch."
CAND_0041669,15,226.489500,"Recommendation Systems Engineer with 8.0 years; profile pairs Information Retrieval with Semantic Search, enough applied depth to stay in serious consideration. Availability signals are favorable, which matters for a founding-team hire."
CAND_0050454,16,224.083500,"AI Engineer with 6.8 years; profile pairs BM25 with FAISS, enough applied depth to stay in serious consideration. Main concern: no linked GitHub."
CAND_0086022,17,224.010000,"Senior Applied Scientist with 5.3 years; profile pairs Vector Search with Embeddings, enough applied depth to stay in serious consideration. Availability signals are favorable, which matters for a founding-team hire."
CAND_0052328,18,222.345000,"Recommendation Systems Engineer with 6.5 years; profile pairs Learning to Rank with Vector Search, enough applied depth to stay in serious consideration. Availability signals are favorable, which matters for a founding-team hire."
CAND_0002025,19,220.728500,"Senior AI Engineer with 5.9 years; profile pairs Sentence Transformers with FAISS, enough applied depth to stay in serious consideration. Availability signals are favorable, which matters for a founding-team hire."
CAND_0027691,20,219.478500,"NLP Engineer with 6.5 years; profile pairs Learning to Rank with Semantic Search, enough applied depth to stay in serious consideration. Availability signals are favorable, which matters for a founding-team hire."
CAND_0010685,21,209.840000,"NLP Engineer with 6.7 years; profile pairs Information Retrieval with Elasticsearch, enough applied depth to stay in serious consideration. Main concern: no linked GitHub."
CAND_0000031,22,205.428000,"Recommendation Systems Engineer with 6.0 years; profile pairs Information Retrieval with Embeddings, enough applied depth to stay in serious consideration. Availability signals are favorable, which matters for a founding-team hire."
CAND_0051292,23,204.430500,"Applied ML Engineer with 5.2 years; profile pairs Vector Search with FAISS, enough applied depth to stay in serious consideration. Availability signals are favorable, which matters for a founding-team hire."
CAND_0020708,24,202.642000,"Search Engineer with 4.2 years; profile pairs Learning to Rank with Sentence Transformers, enough applied depth to stay in serious consideration. Availability signals are favorable, which matters for a founding-team hire."
CAND_0093912,25,202.179000,"Senior Data Scientist with 5.3 years; profile pairs Learning to Rank with Vector Search, enough applied depth to stay in serious consideration. Availability signals are favorable, which matters for a founding-team hire."
CAND_0054394,26,199.044000,"Recommendation Systems Engineer with 4.1 years; profile pairs Embeddings with Pinecone, enough applied depth to stay in serious consideration. Availability signals are favorable, which matters for a founding-team hire."
CAND_0030348,27,196.206000,"Machine Learning Engineer with 4.5 years; profile pairs Vector Search with Embeddings, enough applied depth to stay in serious consideration. Main concern: no linked GitHub."
CAND_0064326,28,192.831000,"Search Engineer with 7.6 years; profile pairs Semantic Search with BM25, enough applied depth to stay in serious consideration. Availability signals are favorable, which matters for a founding-team hire."
